date,adj_close,close,volume,daily_return
2014-01-02,171.46066665649414,173.91865348815918,406090982,
2014-01-03,170.69199562072754,173.0959873199463,552652788,-0.004730177883241815
2014-01-06,173.0863037109375,175.50340461730957,631414171,0.013907990211890153
2014-01-07,171.5740089416504,173.97382164001465,571390911,-0.008715403445478609
2014-01-08,172.45733833312988,174.87235260009766,471579318,0.005164748073087866
2014-01-09,170.34823608398438,172.7324161529541,514161829,-0.012237134202896072
2014-01-10,170.0858612060547,172.4541301727295,503314775,-0.001611081384852442
2014-01-13,168.29693031311035,170.67759323120117,622757365,-0.010301504172436693
2014-01-14,171.61059188842773,174.0386257171631,536283416,0.01969228896618569
2014-01-15,170.62784385681152,173.1046257019043,597600593,-0.005366624859338254
2014-01-16,170.49209785461426,172.9550609588623,404588067,-0.0008640135550135319
2014-01-17,168.99194145202637,171.3945541381836,682564905,-0.009022614383339067
2014-01-21,171.97463035583496,174.41457748413086,544351146,0.017620299321251753
2014-01-22,171.6754493713379,174.12623596191406,593981700,-0.0016531962315078363
2014-01-23,178.44115829467773,180.91269874572754,681235228,0.038974383994022865
2014-01-24,174.05101013183594,176.47761917114258,765474002,-0.024515026337750156
2014-01-27,171.96778678894043,174.41408348083496,914862534,-0.011692903043453162
2014-01-28,176.78042125701904,179.03119659423828,1303934175,0.026472134711017503
2014-01-29,173.1712245941162,175.39644622802734,787972518,-0.02030232962386347
2014-01-30,182.94762516021729,185.16854095458984,1260957053,0.05571432567030521
2014-01-31,184.04823684692383,186.27278518676758,1122799354,0.0059634548421945155
2014-02-03,180.46910285949707,182.69779205322266,885540944,-0.01919224609199044
2014-02-04,182.39251136779785,184.6534595489502,649888588,0.010704384950409374
2014-02-05,181.78900337219238,184.0668430328369,581639807,-0.00317685093767639
2014-02-06,183.17544746398926,185.35699653625488,457573553,0.007009157554724865
2014-02-07,189.473726272583,191.685791015625,656358945,0.03414381219827467
2014-02-10,188.93947982788086,191.1911792755127,550131343,-0.0025803255290424154
2014-02-11,191.4415225982666,193.72288703918457,488381376,0.013241760280287895
2014-02-12,189.60348510742188,191.88467597961426,572048454,-0.00948886880463684
2014-02-13,194.5662784576416,196.88369941711426,545241531,0.02605222856895084
